"track_name","artist_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"Another Love - Zwette Edit","Tom Odell","5snyhxAh55A2wlNRH7VVZJ",0.87,0.554,4,-5.828,0,0.0635,0.0802,0.0739,0.115,0.462,123.998,394573,4
"Fire (feat. Pitbull)","Jason Derulo","4tKDNJH4ylLAxfwYqqUM1d",0.703,0.888,11,-4.724,0,0.0558,0.0106,2.85e-06,0.192,0.766,128.047,216133,4
"In Bloom - Nevermind Version","Nirvana","07bEZWP1PqS5jCR0iiz1zt",0.438,0.851,10,-5.802,0,0.0505,2.67e-05,0.000136,0.301,0.592,157.088,253440,4
"Female Robbery","The Neighbourhood","7e8bQb1csn5WvpOc4b5PJg",0.403,0.888,7,-3.382,0,0.0413,0.056,0.00161,0.0682,0.391,176.483,206813,4
"The Monster","Eminem","5U8hKxSaDXB8cVeLFQjvwx",0.784,0.85,9,-3.679,1,0.0691,0.0492,0,0.112,0.567,110.004,250189,4
"Parking Lot (skit)","Eminem","5x3lJLcnH0naed3iWCmMiJ",0.43,0.771,7,-9.737,0,0.338,0.581,0.211,0.693,0.0927,139.723,55338,4
"So Bad","Eminem","0R8zDxhP2LaqQTeByPDWiS",0.771,0.805,1,0.49,1,0.0956,0.292,0,0.149,0.768,81.037,325347,4
"Seduction","Eminem","7jhskwvshBTaJ9EfMVZQqO",0.451,0.847,6,-4.384,0,0.458,0.124,0,0.788,0.491,79.964,275400,4
"Rap God","Eminem","672Ze1YIJPPJ3zWGG2XZV1",0.702,0.841,7,-2.659,1,0.315,0.382,0,0.767,0.634,148.123,363521,4
"Stronger Than I Was","Eminem","5sVzOWGcPTFtld8oKFCHI4",0.778,0.604,1,-5.394,1,0.104,0.114,0,0.122,0.355,121.983,336519,4
"Love Game","Eminem","4zHeO3eVp2WK6T4kyJAxw6",0.766,0.94,9,-2.47,1,0.192,0.367,0,0.602,0.695,105.524,296953,4
"Cinderella Man","Eminem","318d3zDZXOxJGU24epWw32",0.682,0.908,8,-3.433,1,0.196,0.233,0,0.0807,0.673,86.069,279013,4
"Talkin’ 2 Myself","Eminem","6q4XYddaLXrw1v23n4Ai4B",0.398,0.962,4,-2.177,0,0.415,0.0832,0,0.561,0.5,180.271,300427,4
"Not Afraid","Eminem","4hEl2wrneFEJbJ6SDYWd2f",0.854,0.954,0,-1.185,0,0.246,0.543,0,0.201,0.67,114.609,248133,5
"Say Goodbye Hollywood","Eminem","1WJniFbKc95wCTwblH1mPm",0.743,0.679,9,-5.064,0,0.187,0.0557,0,0.0931,0.669,94.216,272707,4
"Cold Wind Blows","Eminem","7mliwEVqxIuwLmHdTXlBrx",0.625,0.973,11,-0.501,1,0.427,0.133,0,0.746,0.577,168.999,303733,4
"No Love","Eminem","52JyHLUiugFECIYBWM2qdh",0.735,0.932,11,-2.86,1,0.224,0.128,0,0.175,0.318,129.583,299507,4
"'Till I Collapse","Eminem","6yr8GiTHWvFfi4o6Q5ebdT",0.551,0.851,1,-3.277,1,0.197,0.0748,0,0.0784,0.1,171.411,297893,4
"Groundhog Day","Eminem","3HKIBJL1WnT1qgAVrnUcdp",0.723,0.807,1,-1.432,1,0.246,0.35,0,0.71,0.553,81.98,293423,4
"Headlights","Eminem","2LVI9vrYC8AwSUWGmD6B8Q",0.691,0.79,11,-3.689,1,0.137,0.163,0,0.832,0.48,146.679,343032,4
"Survival","Eminem","0wbje8Thnm7IJIaWRJZe5O",0.441,0.884,2,-3.259,1,0.206,0.00426,0,0.122,0.416,176.548,272417,4
"Rhyme Or Reason","Eminem","1ThlWx17VIUGwfy9JhdLHQ",0.845,0.831,4,-3.808,0,0.252,0.138,0,0.0534,0.643,116.935,301721,4
"Won't Back Down","Eminem","5KzRfDOUpMVaB4eYugEVjE",0.48,0.951,2,-2.346,1,0.206,0.0136,2.76e-06,0.0558,0.347,179.98,265907,3
"Evil Twin - Skit","Eminem","65vxXUVKZJUmlrEMNPKBHD",0.618,0.938,4,-5.854,0,0.649,0.0779,0,0.599,0.459,83.367,453926,4
"Brainless","Eminem","5dLvRnFilBSLILOJzuPuQY",0.711,0.936,9,-1.443,1,0.381,0.182,0,0.319,0.605,172.083,286526,4
"Parking Lot - Skit","Eminem","7uZdohrJ8y9KnC2QfdSNBA",0.434,0.826,8,-8.54,1,0.377,0.591,0.0681,0.783,0.0828,141.039,55338,4
"Asshole","Eminem","2bOkfsxbuhFDM1zmUiUxcH",0.537,0.903,1,-2.29,1,0.35,0.436,0,0.766,0.497,173.988,288984,4
"Evil Twin","Eminem","2C5SHLJX2zsQLpYSHON8uW",0.638,0.909,4,-4.787,0,0.357,0.0518,0,0.0832,0.758,83.117,356847,4
"Lose Yourself","Eminem","7MJQ9Nfxzh8LPZ9e9u68Fq",0.689,0.735,2,-4.545,1,0.267,0.00922,0.00072,0.365,0.059,171.403,320627,4
"Lose Yourself to Dance (feat. Pharrell Williams)","Daft Punk","5CMjjywI0eZMixPeqNd75R",0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,353893,4
"Lose Yourself","Larry Callahan","0KGLbzye6DgdnKwOsbvJta",0.491,0.48,2,-6.428,0,0.0756,0.255,0.0426,0.0845,0.0761,168.015,196213,4
"Beautiful","Eminem","7n8UWYTawkrcC1KBsY5XRc",0.727,0.696,5,-4.472,0,0.0706,0.251,0,0.0726,0.467,132.077,392827,4
"Beautiful Pain","Eminem","3YZowcs9DFV9bd6ZmuXgB3",0.679,0.798,11,-4.608,0,0.461,0.068,0,0.113,0.425,165.333,265022,4
"Check Yourself","Lil Crook","16ESwqufq3jKT8q0iVilvp",0.922,0.777,1,-7.028,1,0.32,0.086,0,0.212,0.756,100.017,223333,4
"Check Yourself","The Simpkin Project","2gUK7Aub6ScDrlN7El5D3X",0.694,0.721,0,-8.296,1,0.0333,0.238,0.00022,0.0824,0.924,90.98,259933,4
"Conclusion","AGM","1e92VSkCg0HIFwyxnDCfje",0.895,0.165,0,-14.135,1,0.239,0.319,0.793,0.167,0.581,130.044,125571,4
"Ténegro","Chill Children","1zchrk1boRCyXkUcJ22yQZ",0.764,0.257,7,-11.814,1,0.348,0.724,0.759,0.0819,0.658,80.112,224157,4
"Impermanence","autumn keys","1RBsx4vh4C75cJlyvbyVDg",0.755,0.429,4,-15.75,0,0.204,0.603,0.352,0.0944,0.131,71.977,140000,4
"Morning","Hyperparadise","45ad5DB2WZZJ1JbUBPO4Nc",0.734,0.235,3,-18.819,1,0.133,0.828,0.884,0.135,0.3,82.959,181499,4
"No Samples","Maugre","2cKR957eqapkn6oTaHPFPd",0.712,0.31,5,-12.01,0,0.379,0.96,0.936,0.103,0.303,156.123,156000,4
"Faces","Knowmadic","5n16dEoZ1OwdpqOIK13m1X",0.615,0.424,11,-12.324,0,0.114,0.968,0.809,0.106,0.178,159.033,133165,4
"thinking of you","mommy","2pZi2b9U8r20AF0Cf3hi2D",0.797,0.0832,11,-12.673,1,0.203,0.484,0.81,0.239,0.51,160.048,131000,4
"Fireworks","Nymano","1GPRmRcadnmINbJlutkseu",0.559,0.31,5,-10.53,0,0.373,0.526,0.937,0.147,0.395,188.177,138000,4
"Maybe It’s Not Our Fault","Yerin Baek","2xxAW1kGFSVCDdRVoryX8R",0.311,0.604,5,-6.517,1,0.076,0.764,9.11e-05,0.168,0.626,192.08,233004,4
"X1-MA","PRODUCE X 101","13PuXAY6A7Ws2aWQd6dci0",0.492,0.934,9,-4.12,0,0.0696,0.00152,0,0.251,0.535,129.973,254486,4
"Don't Close Your Eyes (D.C.Y.E) (feat. Kid Milli)","LEE GI KWANG","6e4VAZKREYJIUyR79JnMso",0.813,0.698,7,-5.089,0,0.0929,0.024,0,0.0631,0.725,107.064,238311,4
"Four Seasons","TAEYEON","4ytyLpIwUXbdFsNOvgNnmP",0.596,0.768,6,-4.948,1,0.145,0.0548,0,0.154,0.673,173.99,188238,4
"A Song For You","NU'EST","56A3w4iCQlaqMlUI7U9Wys",0.482,0.609,9,-5.443,1,0.036,0.374,0,0.205,0.307,140.203,254083,4
"WOOWA","DIA","4m5AhuM3VelbtBYuEsGDh9",0.672,0.918,11,-2.759,0,0.0432,0.00695,0.000631,0.302,0.703,127.017,210163,4
"I'M A STAR","WOOSEOK X KUANLIN","7duuODfliNw3nhVrRmIcMi",0.782,0.712,6,-4.814,1,0.149,0.0341,0,0.106,0.907,153.973,191359,4
"Feeling (feat. PENOMECO)","JEONG SEWOON","0QKVP358uZPsxPNiY8oeEg",0.688,0.84,5,-4.484,0,0.0621,0.0132,0,0.0864,0.536,112.021,210010,4
"gogobebe","MAMAMOO","6E7jAJN2e3znSHyPCdQqx8",0.704,0.787,0,-3.114,1,0.082,0.114,0,0.228,0.707,96.929,195856,4
"Bon Bon Chocolat","EVERGLOW","06Pvy98db25O7wlfFFFIRM",0.719,0.828,6,-5.559,1,0.0613,0.0343,0,0.0747,0.634,139.927,228682,4
"Spring (feat. Sandara Park)","Park Bom","65wvbMx87q6IHOBWTKAhWr",0.558,0.794,7,-3.95,0,0.0587,0.202,0,0.167,0.528,149.87,242756,4
"Her Fine Weather","HEIZE","0MiphDS5xfMLuxlHWSe141",0.659,0.644,6,-5.415,1,0.0459,0.137,0,0.0745,0.588,105.059,151010,4
"Hakuna matata","DreamNote","637upPBbqF9DuxajWfvwqs",0.666,0.961,7,-0.563,1,0.179,0.448,0,0.059,0.796,161.946,200243,4
"I’m So Hot","MOMOLAND","5unCIQfJLMtcsiU6MP5zmB",0.75,0.883,6,-1.712,0,0.0432,0.226,9.84e-05,0.0437,0.85,127.069,200243,4
"Butterfly","LOONA","5jhYykolbcG1T9wZSyvhp5",0.582,0.866,7,-4.139,0,0.0414,0.0427,0.00014,0.126,0.351,107.021,237756,4
"ROCK STAR","The T-Bird","712siXhnWOheD8gAFrk2s1",0.675,0.923,2,-3.131,1,0.0491,0.0137,0,0.31,0.388,123.947,214524,4
"Pinky Star (RUN)","GWSN","2v0e1CCZVJJ0g6R0l3JKRG",0.758,0.916,6,-4.604,1,0.0942,0.127,3.04e-06,0.0565,0.61,129.963,202270,4
"News","Jang Dong Woo","1p4txXy2WajoPvg9SGqt77",0.682,0.627,5,-6.328,1,0.0865,0.0819,0,0.361,0.528,126.026,198613,4
"CROWN","TOMORROW X TOGETHER","32h6yQGn4oAhZ0HRsTMX26",0.622,0.8,5,-5.819,1,0.0425,0.0505,0,0.0619,0.58,110.977,230707,4
"TUXEDO","RAVI","0kywDpDY5ZQm6kC9GkNsit",0.731,0.789,6,-2.734,0,0.0444,0.171,0,0.376,0.772,105.064,210564,4
"Gotta Go","CHUNG HA","0xq4ZTcmwBfkPGo4RRKmMe",0.53,0.829,3,-2.526,0,0.0445,0.0741,0,0.0993,0.423,101.85,221813,4
"Noir 누아르","SUNMI","4yJ6CHGtEjUnMsZ4IMqReH",0.642,0.677,8,-4.771,0,0.0343,0.00389,0,0.0854,0.258,117.039,209679,4
"Home","SEVENTEEN","5TyCTVsBsHeeutZcU2uP5s",0.741,0.547,9,-5.029,1,0.253,0.427,0,0.0931,0.615,87.977,203732,4
"I Wanna Be","KEY","7Bd6h5KwA4ASCXCSoWIS3i",0.708,0.749,8,-4.332,1,0.0554,0.21,0,0.0441,0.622,129.079,193263,4
"In the Rain","Yoon Jisung","3cXt0tlOV7OmjTWgaQ1bT1",0.496,0.543,3,-5.654,1,0.0372,0.744,0,0.115,0.326,143.771,232110,4
"Spoiler (feat. Babylon)","JUNG ILHOON","3BX47QZqK1WKPiIpJIwdR6",0.614,0.778,1,-4.186,1,0.0426,0.418,0,0.435,0.521,74.963,210089,4
"달라달라 DALLA DALLA","ITZY","6G7DuXoSGeAf6BZivJdEjF",0.79,0.853,11,-4.564,0,0.0666,0.00116,4.23e-05,0.329,0.713,125,199874,4
"Gravity","TREI","4HgkahWUngIceLYNV1djsr",0.665,0.73,0,-4.983,1,0.0302,0.0323,0,0.16,0.418,113.008,192442,4
"SOLO","JENNIE","2wVDWtLKXunswWecARNILj",0.751,0.642,3,-5.165,0,0.087,0.0861,0,0.0953,0.388,95.045,169567,4
"Senorita","(G)I-DLE","0q6boCcLaWYPIy2vOsksFg",0.782,0.808,0,-3.139,1,0.0362,0.0159,4.33e-05,0.331,0.42,120.021,197616,4
"live","RAVI","0wYMGIWXacqI8QWdkYUFJI",0.694,0.849,6,-3.616,1,0.243,0.302,0,0.127,0.638,154.001,202074,4
"Allure","Hyomin","0SVv5Q6Z3Z0hC1Pq1dzdmP",0.929,0.536,8,-5.037,1,0.117,0.125,0,0.0577,0.786,121.983,173462,4
"Alligator","MONSTA X","2pmbxzWBNM6j5p9CQH32f1",0.71,0.945,5,-1.682,0,0.07,0.0654,0,0.111,0.716,98.032,192516,4
"Get Away","Seven O'Clock","4Qnhb5NSgBE9vuTKMdbwSW",0.603,0.869,5,-2.423,1,0.0849,0.355,0,0.357,0.813,176.004,231049,4
"%%(Eung Eung)","Apink","6MiGIhcqRysLfTTeTEgSuv",0.646,0.855,5,-2.937,0,0.0371,0.281,0,0.18,0.684,144.885,208104,4
"Focus On Me","Jus2","1JQPZKIXKU3wdOSjk2ILgM",0.797,0.767,0,-3.286,0,0.151,0.0974,1.32e-05,0.101,0.536,98.988,216458,4
"Kill This Love","BLACKPINK","4pUCKHjJ4Ijewc37rRrvHn",0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,189052,4
"Don't Know What To Do","BLACKPINK","1TaQciB8qqRZ9fxWGhS65X",0.628,0.64,6,-4.164,0,0.049,0.0992,0,0.138,0.409,129.815,201081,4
"Kick It","BLACKPINK","5R0cvR5BMFkLomChhmcCzr",0.764,0.787,1,-3.647,0,0.0445,0.0153,0,0.0736,0.381,124.949,191226,4
"Hope Not","BLACKPINK","32107DdzIGbVs9Pi54MuRS",0.561,0.422,4,-4.998,0,0.0267,0.444,0,0.0867,0.182,110.037,191030,4
